id,item_type,barcode,dymo,title,creators,first_name,last_name,collection,ean_isbn13,upc_isbn10,publisher,publish_date,group,tags,notes,condition,length,lexile,call_number,ddc,lcc,lccn,oclc,created,updated
kq7fo7aysl,movie,2010000001691,201000000169,"Village of the Damned","John Carpenter",John,Carpenter,"Needs Barcode - Content Verified",0025192044427,025192044427,"Universal Studios Home Entertainment",2010-06-01,,"dvd, horror",,,99,,191-DVDVIL-001A,,,,,2026-09-16,2026-09-16
t0bpwb593y,movie,2010000001707,201000000170,"The Lord of the Rings: The Return of the King","Peter Jackson",Peter,Jackson,"Needs Barcode - Content Verified",0794043692925,794043692925,WarnerBrothers,2004-05-25,,"dvd, fantasy",,,200,,191-DVDTH2-001A,,,,,2026-09-16,2026-09-16
3kj72jmarj,movie,2010000001714,201000000171,"The Lord of the Rings: The Two Towers","Peter Jackson",Peter,Jackson,"Needs Barcode - Content Verified",0794043635526,794043635526,"New Line Home Entertainment",2003-08-26,,"dvd, fantasy",,,179,,191-DVDTHS-001A,,,,,2026-09-16,2026-09-16
j7s2gfhqlq,movie,2010000001721,201000000172,"Blue Velvet","David Lynch",David,Lynch,"Needs Barcode - Content Verified",0715515229913,715515229913,"Criterion Collection",2019-05-28,,"blu-ray, drama",,,120,,191-BLRBLV-001A,,,,,2026-09-16,2026-09-16
u34jskpgnz,movie,2010000001738,201000000173,Elizabethtown,"Cameron Crowe",Cameron,Crowe,"Needs Barcode - Content Verified",0032429284815,032429284815,"Paramount Pictures Home Entertainment",2017-10-10,,"dvd, romantic-comedy",,,123,,191-DVDELI-001A,,,,,2026-09-16,2026-09-16
dmnxz4qu84,movie,2010000001745,201000000174,"A Serious Man",,,,"Needs Barcode - Content Verified",0025195052740,025195052740,MOVIE,2010-02-09,,"comedy, dvd",,,90,,191-DVDASE-001A,,,,,2026-09-16,2026-09-16
2ogaqb4tqt,movie,2010000001752,201000000175,Re-Animator,"Stuart Gordon",Stuart,Gordon,"Needs Barcode - Content Verified",0850045066079,850045066079,"Eagle Rock Pictures",2025-11-11,,"blu-ray, sci-fi",,,84,,191-BLRREA-001A,,,,,2026-09-16,2026-09-16
w1e9c50isd,movie,2010000001769,201000000176,Casino,"Martin Scorsese",Martin,Scorsese,"Needs Barcode - Content Verified",0025192015922,025192015922,"Universal Studios Home Entertainment",1998-02-24,,"drama, dvd",,,178,,191-DVDCAS-001A,,,,,2026-09-16,2026-09-16
bpywerzcho,movie,2010000001776,201000000177,"Sleepless in Seattle","Nora Ephron",Nora,Ephron,"Needs Barcode - Content Verified",0043396016323,043396016323,"Sony Pictures Home Entertainment",2003-10-07,,"dvd, romantic-comedy",,,105,,191-DVDSLE-001A,,,,,2026-09-16,2026-09-16
m4xlvj831h,movie,2010000001813,201000000181,SYRIANA,"Stephen Gaghan",Stephen,Gaghan,"Needs Barcode - Content Verified",0012569829510,012569829510,"Warner Home Video",2006-10-10,,"blu-ray, drama",,,126,,191-BLRSYR-001A,,,,,2026-09-16,2026-09-16
