id,item_type,barcode,dymo,title,creators,first_name,last_name,collection,ean_isbn13,upc_isbn10,publisher,publish_date,group,tags,notes,condition,length,lexile,call_number,ddc,lcc,lccn,oclc,created,updated
bpy7j4ocho,movie,48222458,4822245,2012,,,,"Needs New Barcode - Duplicate",,,,,,"action, blu-ray",,,,,48222458,,,,,2026-09-19,2026-09-19
t0bk3gc93y,movie,2010000002278,201000000227,"All About the Benjamins",,,,"Needs New Barcode - Duplicate",,,,,,"action, vhs",,,,,00177914,,,,,2026-09-19,2026-09-19
56dpbu2v9x,movie,2010000002759,201000000275,"Hang 'Em High",,,,"Needs New Barcode - Duplicate",,,,,,"action, vhs",,,,,00341754,,,,,2026-09-19,2026-09-19
ri1tfzwxoz,movie,48124154,4812415,"Happy Feet",,,,"Needs New Barcode - Duplicate",,,,,,"blu-ray, kids-family",,,,,48124154,,,,,2026-09-19,2026-09-19
cnrhqxrmmk,movie,48189690,4818969,"I, Robot",,,,"Needs New Barcode - Duplicate",,,,,,"blu-ray, sci-fi",,,,,48189690,,,,,2026-09-19,2026-09-19
ywh2sz7r71,movie,48058618,4805861,"Marketa Lazarova",,,,"Needs New Barcode - Duplicate",,,,,,"blu-ray, foreign",,,,,48058618,,,,,2026-09-19,2026-09-19
kq7vz1zysl,movie,48255226,4825522,"Mary Poppins",,,,"Needs New Barcode - Duplicate",,,,,,"blu-ray, kids-family",,,,,48255226,,,,,2026-09-19,2026-09-19
v8uncc726q,movie,2010000003534,201000000353,"Silk 2",,,,"Needs New Barcode - Duplicate",,,,,,"thriller, vhs",,,,,00112378,,,,,2026-09-19,2026-09-19
fto3uuie5y,movie,48091386,4809138,Sing,,,,"Needs New Barcode - Duplicate",,,,,,"blu-ray, kids-family",,,,,48091386,,,,,2026-09-19,2026-09-19
0cpqkyadcu,movie,47927546,4792754,"Taken 2",,,,"Needs New Barcode - Duplicate",,,,,,"blu-ray, thriller",,,,,47927546,,,,,2026-09-19,2026-09-19
qhf8vgfwe4,movie,00276218,0027621,"Circumstances Unknown",,,,"Needs New Barcode - Duplicate",,,,,,"thriller, vhs",,,,,00276218,,,,,2026-09-19,2026-09-19
v8u4a4s26q,movie,48156922,4815692,"Lakota Woman",,,,"Needs New Barcode - Duplicate",,,,,,"drama, vhs",,,,,48156922,,,,,2026-09-19,2026-09-20
kq72et2ysl,movie,47993082,4799308,"Minority Report",,,,"Needs New Barcode - Duplicate",,,,,,"sci-fi, vhs",,,,,47993082,,,,,2026-09-19,2026-09-20
