id,item_type,title,creators,first_name,last_name,collection,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,lexile,call_number,ddc,lcc,lccn,oclc,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
kq7fo7aysl,movie,"Village of the Damned","John Carpenter",John,Carpenter,"Needs Barcode - Content Verified",0025192044427,025192044427,"An American village is visited by some unknown life form which leaves the women of the village pregnant. Nine months later, the babies are born, and they all look normal, but it doesn't take the ""parents"" long to realize that the kids are not human or humane.","Universal Studios Home Entertainment",2010-06-01,,"dvd, horror",,,99,,191-DVDVIL-001A,,,,,1,,,"Christopher Reeve, Kirstie Alley, Linda Kozlowski, Michael Pare, Meredith Salenger",2.35:1,,,,,,,,2026-09-16,1
t0bpwb593y,movie,"The Lord of the Rings: The Return of the King","Peter Jackson",Peter,Jackson,"Needs Barcode - Content Verified",0794043692925,794043692925,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",WarnerBrothers,2004-05-25,,"dvd, fantasy",,,200,,191-DVDTH2-001A,,,,,2,,,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin",2.35:1,,,,,,,,2026-09-16,1
3kj72jmarj,movie,"The Lord of the Rings: The Two Towers","Peter Jackson",Peter,Jackson,"Needs Barcode - Content Verified",0794043635526,794043635526,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor.","New Line Home Entertainment",2003-08-26,,"dvd, fantasy",,,179,,191-DVDTHS-001A,,,,,2,,,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin",2.35:1,,,,,,,,2026-09-16,1
j7s2gfhqlq,movie,"Blue Velvet","David Lynch",David,Lynch,"Needs Barcode - Content Verified",0715515229913,715515229913,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.","Criterion Collection",2019-05-28,,"blu-ray, drama",,,120,,191-BLRBLV-001A,,,,,1,,,"Laura Dern, Dennis Hopper, Kyle MacLachlan, Isabella Rossellini",,,,,,,,,2026-09-16,1
u34jskpgnz,movie,Elizabethtown,"Cameron Crowe",Cameron,Crowe,"Needs Barcode - Content Verified",0032429284815,032429284815,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.","Paramount Pictures Home Entertainment",2017-10-10,,"dvd, romantic-comedy",,,123,,191-DVDELI-001A,,,,,1,,,"Gailard Sartain, Bruce McGill, Alec Baldwin, Allison Munn, Jessica Biel",,,,,,,,,2026-09-16,1
dmnxz4qu84,movie,"A Serious Man",,,,"Needs Barcode - Content Verified",0025195052740,025195052740,"It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous acquaintances Sy Ableman.",MOVIE,2010-02-09,,"comedy, dvd",,,90,,191-DVDASE-001A,,,,,,,,"Michael Stuhlbarg, Richard Kind, Fred Melamed, Aaron Wolff",,,,,,,,,2026-09-16,1
2ogaqb4tqt,movie,Re-Animator,"Stuart Gordon",Stuart,Gordon,"Needs Barcode - Content Verified",0850045066079,850045066079,"Conducting clandestine experiments within the morgue at Miskatonic University, scientist Herbert West reveals to a fellow graduate student his groundbreaking work concerning the re-animation of fresh corpses.","Eagle Rock Pictures",2025-11-11,,"blu-ray, sci-fi",,,84,,191-BLRREA-001A,,,,,,,,"Barbara Crampton, Bruce Abbott, David Gale, Jeffrey Combs",,,,,,,,,2026-09-16,1
w1e9c50isd,movie,Casino,"Martin Scorsese",Martin,Scorsese,"Needs Barcode - Content Verified",0025192015922,025192015922,"This sleek electronic handheld device offers an authentic gaming experience with multiple classic vegas-style play modes and a high-contrast digital display. Its pocket-sized design features responsive physical buttons and automated scoring, making it the perfect portable companion for casual entertainment on the go. Experience the thrill of the jackpot anytime with this durable and easy-to-use gaming console.","Universal Studios Home Entertainment",1998-02-24,,"drama, dvd",,,178,,191-DVDCAS-001A,,,,,1,,,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Kevin Pollak",2.35:1,,,,,,,,2026-09-16,1
bpywerzcho,movie,"Sleepless in Seattle","Nora Ephron",Nora,Ephron,"Needs Barcode - Content Verified",0043396016323,043396016323,"After the death of his mother, a young boy calls a radio station in an attempt to set his father up on a date. Across the country, an engaged woman becomes convinced that they belong together, despite their never having met. Will their paths collide despite the odds?","Sony Pictures Home Entertainment",2003-10-07,,"dvd, romantic-comedy",,,105,,191-DVDSLE-001A,,,,,1,,,"Tom Hanks, Meg Ryan, Bill Pullman, Ross Malinger, Rob Reiner","1.33:1, 1.85:1",,,,,,,,2026-09-16,1
m4xlvj831h,movie,SYRIANA,"Stephen Gaghan",Stephen,Gaghan,"Needs Barcode - Content Verified",0012569829510,012569829510,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.","Warner Home Video",2006-10-10,,"blu-ray, drama",,,126,,191-BLRSYR-001A,,,,,1,,,"George Clooney, Matt Damon, Jeffrey Wright, Chris Cooper, William Hurt",2.40:1,,,,,,,,2026-09-16,1
