Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
juno-dvd-rental-comedy,Juno,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,31715322,,,,comedy
wild-things-dvd-rental-drama,Wild Things,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,31682554,,,,drama
jeepers-creepers-2-dvd-rental-horror,Jeepers Creepers 2,"<p>When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive.</p>",DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,31649786,https://image.tmdb.org/t/p/w1280/u2ghDfjcs3y5c8ata3COc4pWiAN.jpg,,Jeepers Creepers 2 (2003) poster,horror
honey-dvd-rental-drama,honey,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,31617018,,,,drama
big-fat-liar-dvd-rental-kids-family,Big Fat Liar,"<p>After one of his class papers is stolen and turned into a movie, a young student and his best friend exact a hilarious, slapstick revenge on the Hollywood hot shot who has taken credit!</p>",DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,31584250,https://image.tmdb.org/t/p/w1280/3EjpQeyOpH8VIaWqIq6SpCQrCks.jpg,,Big Fat Liar (2002) poster,kids-family
billy-madison-dvd-rental-comedy,Billy Madison,"<p>Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,31551482,https://image.tmdb.org/t/p/w1280/sOdgtJdFalL9kRKaeJItARLTAEq.jpg,,Billy Madison (1995) poster,comedy
where-the-wild-things-are-dvd-rental-kids-family,Where The Wild Things Are,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,31518714,,,,kids-family
cloverfield-dvd-rental-sci-fi,Cloverfield,"<p>Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,31453178,https://image.tmdb.org/t/p/w1280/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,,Cloverfield (2008) poster,sci-fi
dummy-dvd-rental-comedy,dummy,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,31387642,,,,comedy
the-simpsons-christmas-dvd-rental-comedy,The Simpsons Christmas,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,31322106,,,,comedy
