Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
perfect-witness-vhs-floor-sale-thriller,Perfect Witness,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,36749562,,,,false,,,,,,,,,,lb,,,active
the-expert-vhs-floor-sale-thriller,The Expert,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32358650,,,,false,,,,,,,,,,lb,,,active
eyes-of-a-witness-vhs-floor-sale-thriller,Eyes of a Witness,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,32325882,,,,false,,,,,,,,,,lb,,,active
twin-falls-idaho-vhs-floor-sale-drama,Twin Falls Idaho,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,32293114,,,,false,,,,,,,,,,lb,,,active
fatal-attraction-vhs-floor-sale-thriller,Fatal Attraction,,VHS,Uncategorized,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,3,deny,manual,10.00,,true,true,,,,,32260346,,,,false,,,,,,,,,,lb,,,active
the-scalp-merchant-vhs-floor-sale-horror,The Scalp Merchant,,VHS,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,32227578,,,,false,,,,,,,,,,lb,,,active
face-of-evil-vhs-floor-sale-thriller,Face of Evil,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,32194810,,,,false,,,,,,,,,,lb,,,active
i-want-you-vhs-floor-sale-drama,I Want You,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32162042,,,,false,,,,,,,,,,lb,,,active
kiss-or-kill-vhs-floor-sale-thriller,Kiss or Kill,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,32129274,,,,false,,,,,,,,,,lb,,,active
red-shoe-diaries-vhs-floor-sale-drama,Red Shoe Diaries,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,32096506,,,,false,,,,,,,,,,lb,,,active
