title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Village of the Damned,,"An American village is visited by some unknown life form which leaves the women of the village pregnant. Nine months later, the babies are born, and they all look normal, but it doesn't take the ""parents"" long to realize that the kids are not human or humane.",025192044427,0025192044427,,,,"DVD, horror",,,0.00,,,,,1,191-DVDVIL-001A,,,,,,,,
The Lord of the Rings: The Return of the King,,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",794043692925,0794043692925,,,,"DVD, fantasy",,,0.00,,,,,1,191-DVDTH2-001A,,,,,,,,
The Lord of the Rings: The Two Towers,,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor.",794043635526,0794043635526,,,,"DVD, fantasy",,,0.00,,,,,1,191-DVDTHS-001A,,,,,,,,
National Treasure,,This high-stakes adventure follows a historian and treasure hunter on an action-packed quest to uncover hidden secrets embedded within America's past. The film features a blend of historical mystery and thrilling suspense that keeps viewers engaged from start to finish. It is a perfect addition to any family movie collection for those who enjoy clever puzzles and archaeological intrigue.,786936242928,0786936242928,,,,"DVD, kids-family",,,0.00,,,,,1,191-DVDNTN-001A,,,,,,,,
Blue Velvet,,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",715515229913,0715515229913,,,,"Blu-Ray, drama",,,0.00,,,,,1,191-BLRBLV-001A,,,,,,,,
Elizabethtown,,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.",032429284815,0032429284815,,,,"DVD, romantic-comedy",,,0.00,,,,,1,191-DVDELI-001A,,,,,,,,
A Serious Man,,"It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous acquaintances Sy Ableman.",025195052740,0025195052740,,,,"DVD, comedy",,,0.00,,,,,1,191-DVDASE-001A,,,,,,,,
Re-Animator,,"Conducting clandestine experiments within the morgue at Miskatonic University, scientist Herbert West reveals to a fellow graduate student his groundbreaking work concerning the re-animation of fresh corpses.",0850045066079,0850045066079,,,,"Blu-Ray, sci-fi",,,0.00,,,,,1,191-BLRREA-001A,,,,,,,,
Casino,,"This sleek electronic handheld device offers an authentic gaming experience with multiple classic vegas-style play modes and a high-contrast digital display. Its pocket-sized design features responsive physical buttons and automated scoring, making it the perfect portable companion for casual entertainment on the go. Experience the thrill of the jackpot anytime with this durable and easy-to-use gaming console.",025192015922,0025192015922,,,,"DVD, drama",,,0.00,,,,,1,191-DVDCAS-001A,,,,,,,,
Sleepless in Seattle,,"After the death of his mother, a young boy calls a radio station in an attempt to set his father up on a date. Across the country, an engaged woman becomes convinced that they belong together, despite their never having met. Will their paths collide despite the odds?",043396016323,0043396016323,,,,"DVD, romantic-comedy",,,0.00,,,,,1,191-DVDSLE-001A,,,,,,,,
The Jackal,,"This high-performance bowling ball features a dynamic asymmetrical core designed to deliver a massive mid-lane read and an explosive backend motion. Its premium reactive coverstock provides exceptional traction on heavy oil patterns, ensuring a powerful entry angle into the pocket. Serious players will appreciate the blend of incredible durability and relentless pin-carrying power this versatile equipment offers.",025192026225,0025192026225,,,,"DVD, thriller",,,0.00,,,,,1,191-DVDTHJ-001A,,,,,,,,
Fear,,"This graphic t-shirt features a bold and haunting design printed on high-quality, comfortable fabric. Its striking visual elements and modern fit make it an ideal choice for enthusiasts of alternative style or statement streetwear. The versatile color palette ensures it pairs effortlessly with denim or layered looks for any casual occasion.",025192039324,0025192039324,,,,"DVD, thriller",,,0.00,,,,,1,191-DVDFER-001A,,,,,,,,
8 Mile,,This grit-filled drama offers a compelling look at the underground battle rap scene and the pursuit of a dream against all odds. Its powerful performances and authentic storytelling make it a must-have for fans of musical biopics and intense urban narratives. This high-definition physical release provides a crisp viewing experience for one of the most influential films of the early 2000s.,025192128530,,,,,"DVD, drama",,,0.00,,,,,1,191-DVD8MI-001A,,,,,,,,
SYRIANA,,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.",012569829510,0012569829510,,,,"Blu-Ray, drama",,,0.00,,,,,1,191-BLRSYR-001A,,,,,,,,
Texas Chain Saw Massacre,,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way, they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.",030306193090,0030306193090,,,,"Blu-Ray, horror",,,0.00,,,,,1,191-BLRTEX-001A,,,,,,,,
Enchanted,,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",786936716061,0786936716061,,,,"DVD, kids-family",,,0.00,,,,,1,191-DVDENC-001A,,,,,,,,
