title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
The Hidden Fortress,,"In feudal Japan, during a bloody war between clans, two cowardly and greedy peasants, soldiers of a defeated army, stumble upon a mysterious man who guides them to a fortress hidden in the mountains.",715515174817,0715515174817,,,,"DVD, action",,,0.00,,,,,1,50495738,,,,,,,,
Rashomon,,Four people recount different versions of the story of a man's murder and the rape of his wife.,715515101011,0715515101011,,,,"DVD, thriller",,,0.00,,,,,1,50233594,,,,,,,,
Hiroshima Mon Amour,,"The deep conversation between a Japanese architect and a French actress forms the basis of this celebrated French film, considered one of the vanguard productions of the French New Wave. Set in Hiroshima after the end of World War II, the couple -- lovers turned friends -- recount, over many hours, previous romances and life experiences. The two intertwine their stories about the past with pondering the devastation wrought by the atomic bomb dropped on the city.",715515151610,0715515151610,,,,"DVD, drama",,,0.00,,,,,1,50168058,,,,,,,,
Night and Fog,,Filmmaker Alain Resnais documents the atrocities behind the walls of Hitler's concentration camps.,715515181617,0715515181617,,,,"DVD, documentary",,,0.00,,,,,1,50102522,,,,,,,,
RAN,,Shakespeare's King Lear is reimagined as a singular historical epic set in sixteenth-century Japan where an aging warlord divides his kingdom between his three sons.,720917536729,0720917536729,,,,"DVD, drama",,,0.00,,,,,1,50036986,,,,,,,,
The Bad Sleep Well,,"In this loose adaptation of ""Hamlet,"" illegitimate son Kôichi Nishi climbs to a high position within a Japanese corporation and marries the crippled daughter of company vice president Iwabuchi. At the reception, the wedding cake is a replica of their corporate headquarters, but an aspect of the design reminds the party of the hushed-up death of Nishi's father. It is then that Nishi unleashes his plan to avenge his father's death.",037429207529,0037429207529,,,,"DVD, drama",,,0.00,,,,,1,49971450,,,,,,,,
Throne of Blood,,"Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.",715515155212,0715515155212,,,,"DVD, drama",,,0.00,,,,,1,49938682,,,,,,,,
The River,,"Tom and Mae Garvey are a Tennessee farming couple battling violent floods to save their land. In addition to natural disasters, the Garveys fight to stop a selfish land developer and a local corporation from foreclosing on their farm. While Mae stays at home to care for their children and tend to the crops, Tom finds work as a scab at a steel mill to preserve his family's property.",025195005432,0025195005432,,,,"DVD, drama",,,0.00,,,,,1,49742074,,,,,,,,
Drunken Angel,,"In postwar Tokyo, a blunt, alcohol-soaked doctor diagnoses a swaggering young yakuza with tuberculosis, forging an uneasy bond that’s tested when the gangster’s ruthless former boss returns and drags him back toward the swampy underworld he can’t escape.",715515026826,0715515026826,,,,"DVD, drama",,,0.00,,,,,1,49676538,,,,,,,,
Summer Interlude,,"During a brief summer vacation, a lonely woman recalls her first love thirteen years earlier.",715515095815,0715515095815,,,,"DVD, drama",,,0.00,,,,,1,49316090,,,,,,,,
The Soft Skin,,"Pierre Lachenay is a well-known publisher and lecturer, married to Franca and father of Sabine. He starts a love affair with air hostess Nicole, which Pierre is hiding, but he cannot stay away from her.",715515141215,0715515141215,,,,"DVD, drama",,,0.00,,,,,1,49119482,,,,,,,,
Le Notti Bianche,,"White Nights (Le Notti Bianche) is a 1957 romantic melodrama directed by Luchino Visconti, based on Dostoevsky's story, about a lonely young man who falls for a woman waiting faithfully for her lover's return.",037429207826,0037429207826,,,,"DVD, drama",,,0.00,,,,,1,48922874,,,,,,,,
Viridiana,,"Viridiana is preparing to start her life as a nun when she is sent, somewhat unwillingly, to visit her aging uncle, Don Jaime. He supports her; but the two have met only once. Jaime thinks Viridiana resembles his dead wife. Viridiana has secretly despised this man all her life and finds her worst fears proven when Jaime grows determined to seduce his pure niece. Viridiana becomes undone as her uncle upends the plans she had made to join the convent.",037429212622,0037429212622,,,,"DVD, drama",,,0.00,,,,,1,48857338,,,,,,,,
The Last Temptation of Christ,,"Jesus, a humble Judean carpenter beginning to see that he is the son of God, is drawn into revolutionary action against the Roman occupiers by Judas -- despite his protestations that love, not violence, is the path to salvation. The burden of being the savior of mankind torments Jesus throughout his life, leading him to doubt.",715515010528,0715515010528,,,,"DVD, drama",,,0.00,,,,,1,48824570,,,,,,,,
Black Narcissus,,"A group of Anglican nuns, led by Sister Clodagh, are sent to a mountain in the Himalayas. The climate in the region is hostile and the nuns are housed in an odd old palace. They work to establish a school and a hospital, but slowly their focus shifts. Sister Ruth falls for a government worker, Mr. Dean, and begins to question her vow of celibacy. As Sister Ruth obsesses over Mr. Dean, Sister Clodagh becomes immersed in her own memories of love.",037429152126,,,,,"DVD, drama",,,0.00,,,,,1,48791802,,,,,,,,
Walkabout,,"Under the pretense of having a picnic, a geologist takes his teenage daughter and 6-year-old son into the Australian outback and attempts to shoot them. When he fails, he turns the gun on himself, and the two city-bred children must contend with harsh wilderness alone. They are saved by a chance encounter with an Aboriginal boy who shows them how to survive, and in the process underscores the disharmony between nature and modern life.",9344256018541,9344256018541,,,,"DVD, drama",,,0.00,,,,,1,48759034,,,,,,,,
