Handle,Title,Vendor,Kind,Reason
the-night-and-the-moment-vhs-rental-drama,The Night and the Moment,VHS,unmatched,no UPCMDB records for this imdb_id
american-hearth-vhs-rental-drama,American Heart,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
short-time-vhs-rental-action,Short Time,VHS,unmatched,no UPCMDB records for this imdb_id
still-breathing-vhs-rental-romantic-comedy,Still Breathing,VHS,unmatched,no UPCMDB records for this imdb_id
blue-ice-vhs-rental-thriller,Blue Ice,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
skeleton-coast-vhs-rental-action,Skeleton Coast,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
arachnophobia-vhs-rentla-horror,Arachnophobia,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-bone-collector-vhs-rental-thriller,The Bone Collector,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
any-given-sunday-vhs-rental-drama,Any Given Sunday,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
rising-sun-vhs-rental-thriller,Rising Sun,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
roxanne-vhs-rental-comedy,Roxanne,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
no-way-out-vhs-rental-thriller,No Way Out,VHS,ambiguous,ambiguous TMDB match
nick-of-time-vhs-rental-thriller,Nick of Time,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
ruthless-people-vhs-rental-comedy,Ruthless People,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
rough-air-vhs-rental-action,Rough Air,VHS,ambiguous,ambiguous TMDB match
arachnid-vhs-rental-sci-fi,Arachnid,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
nightfall-vhs-rental-sci-fi,Nightfall,VHS,ambiguous,ambiguous TMDB match
maryam-vhs-rental-drama,Maryam,VHS,unmatched,no UPCMDB records for this imdb_id
night-of-the-cyclone-vhs-rental-action,Night of the Cyclone,VHS,unmatched,no UPCMDB records for this imdb_id
rubberface-vhs-rental-comedy,Rubberface,VHS,unmatched,no UPCMDB records for this imdb_id
