title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Uncle Saddam,,Everything you've ever wanted to know about Saddam Hussein (but were afraid to ask).,,,,,,"DVD, documentary",,,0.00,,,,,1,39131642,,,,,,,,
The Jensen Project,,"After a sixteen-year absence, married scientists Claire and Matt Thompson reunite with The Jensen Project. The Jensen Project is a secret community of geniuses doing cutting edge research they share anonymously to help the world.",,,,,,"DVD, sci-fi",,,0.00,,,,,1,39066106,,,,,,,,
The Witches Hammer,,On the day of her death a normal woman is transformed into a genetically engineered vampire and trained to kill. She is sent on a mission to stop the Souls of the Damned being unleashed into our dimension.,,,,,,"DVD, horror",,,0.00,,,,,1,39000570,,,,,,,,
Motives 2,,"Vivica A. Fox and Shemar Moore return for this thrilling sequel to Motives that picks up three years after the events of the original film. Innocent convict Emery Simms is serving time for a crime he didn't commit; while most convict's claims of innocence are shoddy at best, Emery has every reason to protest his wrongful incarceration. Meanwhile, in the outside world, Emery's ex-wife (Fox) has married his best friend and the pair is struggling to build a normal life together. When Emery is killed in prison and his brother Donovan (Brian J. White) discovers the truth about what killed his ill-fated sibling, his quest to cut through the complex web of lies and deceit which previously ensnared Emery threatens to bring about deadly consequences.",,,,,,"DVD, thriller",,,0.00,,,,,1,38967802,,,,,,,,
Two Moon Junction,,"A young Southern débutante temporarily abandons her posh lifestyle and upcoming, semi-arranged marriage to have a lustful and erotic fling with a rugged drifter who works at a local carnival.",,,,,,"DVD, drama",,,0.00,,,,,1,38869498,,,,,,,,
USS Poseidon: Phantom Below,,"In the cold, dark waters off North Korea a U.S. Navy fast attack submarine meets with a mysterious disaster - it's attacked and nearly sunk by an ominous stealth submarine resulting in the deaths of the Executive Officer and the Engineering Officer.",,,,,,"DVD, action",,,0.00,,,,,1,38771194,,,,,,,,
The Seat Filler,,"Derrick is a struggling law student who takes a job as an awards show seat filler to make ends meet. One day, he is seated next to the beautiful pop superstar Jhnelle, who mistakes him for a well-known industry executive. With an instant chemistry, the unlikely pair begin to date.",,,,,,"DVD, comedy",,,0.00,,,,,1,96271098,,,,,,,,
American Pie,,,,,,,,"DVD, comedy",,,0.00,,,,,1,96238330,,,,,,,,
Escapee,,"While on a class observation trip at a local mental hospital, young psychology major Abby Jones, has a chilling encounter with high-risk patient, Harmon Porter. She returns home for an evening of normal study with her two roommates unaware of the darkness she’s awakened within him.",,,,,,"DVD, action",,,0.00,,,,,1,96205562,,,,,,,,
A Walk in My Shoes,,"Ever judge someone just by looking at them? Of course, we’ve all made snap judgments about people. But what if we really got to know them? How would our opinions change? And what if we were forced to become them… how would the shoes fit then? Stressed-out high school teacher Trish Fahey can’t understand her students’ lack of effort and why their parents don’t seem to care. This perspective dramatically changes when Trish meets Molly, a mysterious stranger intent on helping her see things differently. When Trish wrecks her car, Molly is there as Trish wakes to find herself living the life of Cindy Kremer, the woman she has personally judged and criticized. Trish discovers that there is often more to the story and learns a powerful lesson that affects everyone she interacts with. Her husband, her daughter, the ex-Marine next door… No one is left unchanged.",,,,,,"DVD, drama",,,0.00,,,,,1,96140026,,,,,,,,
