Handle,Title,Vendor,Kind,Reason
rear-window-4k-rental-thriller,Rear Window,4K,ambiguous,ambiguous TMDB match
civil-war-4k-rental-thriller,Civil War,4K,ambiguous,ambiguous TMDB match
cinderella-4k-rental-kids-family,Cinderella,4K,ambiguous,ambiguous TMDB match
alien-4k-rental-sci-fi,Alien,4K,ambiguous,ambiguous TMDB match
to-die-for-bluray-rental-criterion-collection-drama,To Die For,Blu-Ray,ambiguous,ambiguous TMDB match
the-thin-blue-line-bluray-rental-criterion-collection-documentary,The Thin Blue Line,Blu-Ray,ambiguous,ambiguous TMDB match
streetwise-bluray-rental-criterion-collection-documentary,Streetwise,Blu-Ray,ambiguous,ambiguous TMDB match
the-last-waltz-bluray-rental-criterion-collection-musical,The Last Waltz,Blu-Ray,ambiguous,ambiguous TMDB match
malcom-x-4k-rental-criterion-collection-drama,Malcom X,4K,unmatched,no TMDB match
wall-e-4k-rental-criterion-collection-kids-family,Wall-E,4K,ambiguous,ambiguous TMDB match
tall-tales-legends-annie-oakley-vhs-rental-drama,Tall Tales & Legends: Annie Oakley,VHS,unmatched,no TMDB match
the-kitchen-soto-vhs-rental-drama,The Kitchen Soto,VHS,unmatched,no TMDB match
far-from-heaven-vhs-rental-drama,Far From Heaven,VHS,ambiguous,ambiguous TMDB match
the-survivors-vhs-rental-comedy,The Survivors,VHS,ambiguous,ambiguous TMDB match
the-incredibly-true-adventures-of-2-girls-in-love-vhs-rental-comedy,The Incredibly True Adventures of 2 Girls in Love,VHS,unmatched,no TMDB match
smart-money-vhs-rental-drama,Smart Money,VHS,ambiguous,ambiguous TMDB match
mussolini-and-i-vhs-rental-drama,Mussolini and I,VHS,unmatched,no TMDB match
easy-money-vhs-rental-comedy,Easy Money,VHS,ambiguous,ambiguous TMDB match
working-girl-vhs-rental-comedy,Working Girl,VHS,ambiguous,ambiguous TMDB match
a-fool-and-his-money-vhs-rental-romantic-comedy,A Fool and His Money,VHS,ambiguous,ambiguous TMDB match
soap-dish-vhs-rental-comedy,Soap Dish,VHS,unmatched,no TMDB match
the-bridges-of-medison-county-vhs-rental-drama,The Bridges of Medison County,VHS,unmatched,no TMDB match
murphys-fault-vhs-rental-comedy,Murphy's Fault,VHS,ambiguous,ambiguous TMDB match
soldiers-fortune-vhs-rental-action,Soldier's Fortune,VHS,ambiguous,ambiguous TMDB match
sleeping-beauty-1989-vhs-rental-kids-family,Sleeping Beauty (1989),VHS,ambiguous,ambiguous TMDB match
fathers-day-vhs-rental-comedy,Father's Day,VHS,unmatched,TMDB has no imdb_id for this title
salvador-vhs-rental-drama,Salvador,VHS,ambiguous,ambiguous TMDB match
dying-to-get-rich-vhs-rental-comedy,Dying to Get Rich,VHS,ambiguous,ambiguous TMDB match
the-butterfly-effect-collection-dvd-rental-sci-fi,The Butterfly Effect Collection,DVD,unmatched,no TMDB match
baby-mana-dvd-rental-comedy,Baby Mama,DVD,ambiguous,ambiguous TMDB match
sherlock-holmes-dvd-rental-action,Sherlock Holmes,DVD,ambiguous,ambiguous TMDB match
say-anthing-dvd-rental-romantic-comedy,Say Anthing,DVD,unmatched,no TMDB match
defiance-dvd-rental-action,Defiance,DVD,ambiguous,ambiguous TMDB match
the-losers-bluray-rental-action,The Losers,Blu-Ray,ambiguous,ambiguous TMDB match
the-way-back-bluray-rental-comedy,The Way Back,Blu-Ray,ambiguous,ambiguous TMDB match
fantasic-beasts-the-crimes-of-grindelwald-bluray-rental-fantasy,Fantasic Beasts The Crimes of Grindelwald,Blu-Ray,unmatched,no TMDB match
casino-royale-bluray-rental-action,Casino Royale,Blu-Ray,ambiguous,ambiguous TMDB match
mckenna-shoots-for-the-stars-bluray-rental-kids-family,McKenna Shoots for the Stars,Blu-Ray,ambiguous,ambiguous TMDB match
neighbors-bluray-rental-comedy,Neighbors,Blu-Ray,ambiguous,ambiguous TMDB match
wanted-bluray-rental-action,Wanted,Blu-Ray,ambiguous,ambiguous TMDB match
iron-man-trilogy-bluray-rental-action,Iron Man Trilogy,Blu-Ray,unmatched,no TMDB match
the-secret-life-of-pets-bluray-rental-kids-family,The Secret Life of Pets,Blu-Ray,ambiguous,ambiguous TMDB match
the-line-staten-island-bluray-rental-action,The Line / Staten Island,Blu-Ray,unmatched,no TMDB match
clash-of-the-titans-bluray-rental-action,Clash of the Titans,Blu-Ray,ambiguous,ambiguous TMDB match
barbie-the-fairy-princess-bluray-rental-kids-family,Barbie & The Fairy Princess,Blu-Ray,ambiguous,ambiguous TMDB match
the-reckoning-vhs-rental-action,The Reckoning,VHS,ambiguous,ambiguous TMDB match
baywatch-the-movie-vhs-rental-action,Baywatch The Movie,VHS,ambiguous,ambiguous TMDB match
new-york-cop-vhs-rental-action,New York Cop,VHS,ambiguous,ambiguous TMDB match
excellent-cadavers-vhs-rental-action,Excellent Cadavers,VHS,ambiguous,ambiguous TMDB match
k2-the-ultimate-high-vhs-rental-action,K2 The Ultimate High,VHS,ambiguous,ambiguous TMDB match
the-hustle-vhs-rental-action,The Hustle,VHS,ambiguous,ambiguous TMDB match
the-dogfighters-vhs-rental-action,The Dogfighters,VHS,unmatched,TMDB has no imdb_id for this title
cold-heart-vhs-rental-action,Cold Heart,VHS,ambiguous,ambiguous TMDB match
sticks-vhs-rental-action,Sticks,VHS,unmatched,TMDB has no imdb_id for this title
face-vhs-rental-action,Face,VHS,ambiguous,ambiguous TMDB match
wildside-crimea-of-the-century-vhs-rental-action,Wildside Crimea of the Century,VHS,unmatched,no TMDB match
state-of-grace-vhs-rental-action,State of Grace,VHS,ambiguous,ambiguous TMDB match
doppelganger-the-evil-within-vhs-rental-thriller,Doppelganger The Evil Within,VHS,ambiguous,ambiguous TMDB match
