call_number,barcode_status,content_status,message
50864890,updated,updated,barcode: ok | content: changed: poster
51343866,updated,updated,barcode: ok | content: changed: poster
50946554,updated,updated,barcode: ok | content: changed: poster
90291962,updated,updated,barcode: ok | content: changed: poster
52228602,updated,updated,barcode: ok | content: changed: poster
51487482,updated,updated,barcode: ok | content: changed: poster
03432698,updated,updated,barcode: ok | content: changed: poster
75750138,updated,updated,barcode: ok | content: changed: poster
24634874,updated,updated,barcode: ok | content: changed: poster
66797306,updated,updated,barcode: ok | content: changed: poster
25552378,updated,updated,barcode: ok | content: changed: poster
24471034,updated,updated,barcode: ok | content: changed: poster
67773178,updated,updated,barcode: ok | content: changed: poster
42435578,updated,updated,barcode: ok | content: changed: poster
42238970,updated,updated,barcode: ok | content: changed: poster
41878522,updated,updated,barcode: ok | content: changed: poster
68330234,updated,updated,barcode: ok | content: changed: poster
24765946,updated,updated,barcode: ok | content: changed: poster
68494074,updated,updated,barcode: ok | content: changed: poster
42370042,updated,updated,barcode: ok | content: changed: poster
50963194,updated,updated,barcode: ok | content: changed: poster
51258106,updated,updated,barcode: ok | content: changed: poster
42337274,updated,updated,barcode: ok | content: changed: poster
68428538,updated,updated,barcode: ok | content: changed: poster
51290874,updated,updated,barcode: ok | content: changed: poster
52798202,updated,updated,barcode: ok | content: changed: poster
24307194,updated,updated,barcode: ok | content: changed: poster
24798714,updated,updated,barcode: ok | content: changed: poster
77519610,updated,updated,barcode: ok | content: changed: poster
24176122,updated,updated,barcode: ok | content: changed: poster
91958778,updated,updated,barcode: ok | content: changed: poster
25159162,updated,updated,barcode: ok | content: changed: poster
24339962,updated,updated,barcode: ok | content: changed: poster
94798074,updated,updated,barcode: ok | content: changed: poster
25060858,updated,updated,barcode: ok | content: changed: poster
51454714,updated,updated,barcode: ok | content: changed: poster
76503802,updated,updated,barcode: ok | content: changed: poster
25224698,updated,updated,barcode: ok | content: changed: poster
52929274,updated,updated,barcode: ok | content: changed: poster
50655738,updated,updated,barcode: ok | content: changed: poster
76700410,updated,updated,barcode: ok | content: changed: poster
95977722,updated,updated,barcode: ok | content: changed: poster
42664954,updated,updated,barcode: ok | content: changed: poster
68756218,updated,updated,barcode: ok | content: changed: poster
51553018,updated,updated,barcode: ok | content: changed: poster
45580538,updated,updated,barcode: ok | content: changed: poster
58808058,updated,updated,barcode: ok | content: changed: poster
90484218,updated,updated,barcode: ok | content: changed: poster
68559610,updated,updated,barcode: ok | content: changed: poster
50848250,updated,updated,barcode: ok | content: changed: poster
31387642,updated,updated,barcode: ok | content: changed: poster
90844666,updated,updated,barcode: ok | content: changed: poster
52683258,updated,updated,barcode: ok | content: changed: poster
51573242,updated,updated,barcode: ok | content: changed: poster
30928890,updated,updated,barcode: ok | content: changed: poster
