call_number,barcode_status,content_status,message
19980794,updated,updated,barcode: ok | content: changed: poster
70888442,updated,updated,barcode: ok | content: changed: poster
01047802,updated,updated,barcode: ok | content: changed: poster
01211642,updated,updated,barcode: ok | content: changed: poster
38862330,updated,updated,barcode: ok | content: changed: poster
77540346,updated,updated,barcode: ok | content: changed: poster
41713146,updated,updated,barcode: ok | content: changed: poster
76229626,updated,updated,barcode: ok | content: changed: poster
17318906,updated,updated,barcode: ok | content: changed: poster
83615226,updated,updated,barcode: ok | content: changed: poster
38559226,updated,updated,barcode: ok | content: changed: poster
08339450,updated,updated,barcode: ok | content: changed: poster
01375482,updated,updated,barcode: ok | content: changed: poster
28696058,updated,updated,barcode: ok | content: changed: poster
86206970,updated,updated,barcode: ok | content: changed: poster
26724346,updated,updated,barcode: ok | content: changed: poster
83647994,updated,updated,barcode: ok | content: changed: poster
40066554,updated,updated,barcode: ok | content: changed: poster
17384442,updated,updated,barcode: ok | content: changed: poster
26691578,updated,updated,barcode: ok | content: changed: poster
22365178,updated,updated,barcode: ok | content: changed: poster
06516218,updated,updated,barcode: ok | content: changed: poster
07651322,updated,updated,barcode: ok | content: changed: poster
21709818,updated,updated,barcode: ok | content: changed: poster
00720122,updated,updated,barcode: ok | content: changed: poster
83090938,updated,updated,barcode: ok | content: changed: poster
72264698,updated,updated,barcode: ok | content: changed: poster
37871098,updated,updated,barcode: ok | content: changed: poster
20038650,updated,updated,barcode: ok | content: changed: poster
85715450,updated,updated,barcode: ok | content: changed: poster
04736762,updated,updated,barcode: ok | content: changed: poster
20333562,updated,updated,barcode: ok | content: changed: poster
16663546,updated,updated,barcode: ok | content: changed: poster
27379706,updated,updated,barcode: ok | content: changed: poster
40828410,updated,updated,barcode: ok | content: changed: poster
13254650,updated,updated,barcode: ok | content: changed: poster
39845370,updated,updated,barcode: ok | content: changed: poster
83385850,updated,updated,barcode: ok | content: changed: poster
49055994,updated,updated,barcode: ok | content: changed: poster
98777338,updated,updated,barcode: ok | content: changed: poster
42008058,updated,updated,barcode: ok | content: changed: poster
07585786,updated,updated,barcode: ok | content: changed: poster
83582458,updated,updated,barcode: ok | content: changed: poster
30853114,updated,updated,barcode: ok | content: changed: poster
32570874,updated,updated,barcode: ok | content: changed: poster
42761722,updated,updated,barcode: ok | content: changed: poster
14139386,updated,updated,barcode: ok | content: changed: poster
34373114,updated,updated,barcode: ok | content: changed: poster
29476858,updated,updated,barcode: ok | content: changed: poster
18072570,updated,updated,barcode: ok | content: changed: poster
82697722,updated,updated,barcode: ok | content: changed: poster
33390074,updated,updated,barcode: ok | content: changed: poster
01791994,updated,updated,barcode: ok | content: changed: poster
46369018,updated,updated,barcode: ok | content: changed: poster
31384058,updated,updated,barcode: ok | content: changed: poster
35839482,updated,updated,barcode: ok | content: changed: poster
08994810,updated,updated,barcode: ok | content: changed: poster
30885882,updated,updated,barcode: ok | content: changed: poster
96849658,updated,updated,barcode: ok | content: changed: poster
47712506,updated,updated,barcode: ok | content: changed: poster
82959866,updated,updated,barcode: ok | content: changed: poster
74918906,updated,updated,barcode: ok | content: changed: poster
03075578,updated,updated,barcode: ok | content: changed: poster
01732090,updated,updated,barcode: ok | content: changed: poster
08275706,updated,updated,barcode: ok | content: changed: poster
42732026,updated,updated,barcode: ok | content: changed: poster
40721914,updated,updated,barcode: ok | content: changed: poster
21062138,updated,updated,barcode: ok | content: changed: poster
37617146,updated,updated,barcode: ok | content: changed: poster
