title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
"4 Films in 1: Paris, Je T'aime / The Truth About Love / My Date with Drew / Jack & Jill VS The World",,"Four Movies in One: Romantic Comedy -- Paris, Je T'aime / The Truth About Love / My Date with Drew / Jack and Jill vs. The World.",,,,,,"DVD, romantic-comedy",,,0.00,,,,,1,62852602,,,,,,,,
400 Bullets,,"One cold winter night in Afghanistan is about to get a whole lot worse for Rana Rae, a Gurkha soldier left to guard a British military outpost, when Captain Noah Brandt arrives looking for refuge from a group of rogue special ops and a cell of heavily armed Taliban. The two soldiers must fight for their lives as they attempt to call for backup before the rogue squad, led by the backstabbing Sergeant Bartlett, can hunt them down to retrieve a case of missile guidance chips that Noah intercepted. But Bartlett and his men do not count on Rana, whose ferocious Gurkha training makes him a force to be reckoned with.",,,,,,"DVD, action",,,0.00,,,,,1,41712378,,,,,,,,
42 The Jackie Robinson Story,,"In 1947, Jackie Robinson becomes the first Black man to play in Major League Baseball facing unabashed racism from the public, the press and other players.",,,,,,"DVD, drama",,,0.00,,,,,1,80350714,,,,,,,,
A Perfect Murder,,"Millionaire industrialist Steven Taylor is a man who has everything but what he craves most: the love and fidelity of his wife. A hugely successful player in the New York financial world, he considers her to be his most treasured acquisition. But she needs more than simply the role of dazzling accessory.",,,,,,"VHS, thriller",,,0.00,,,,,1,18444538,,,,,,,,
A.I. Artificial Intelligence,,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.",,,,,,"DVD, sci-fi",,,0.00,,,,,1,17666042,,,,,,,,
Along Came a Spider,,"After the harrowing death of his partner, forensic psychologist and best-selling author Alex Cross cannot forgive himself and has retreated to the peace of retirement. But when a brilliant criminal kidnaps a senator's young daughter, he is lured back into action as the kidnapper wants to deal with Alex personally. Teamed with Jezzie Flanigan, the Secret Service agent assigned to protect the missing girl, Alex follows a serpentine trail of clues that leads him to a stunning discovery - the kidnapper wants more than just ransom.",,,,,,"VHS, thriller",,,0.00,,,,,1,18575610,,,,,,,,
Alvin and the Chipmunks: Chip Wrecked,,"Alvin and the Chipmunks: Chipwrecked is a 2011 American musical comedy film in which Alvin, Simon, Theodore and the Chipettes are stranded on a tropical island after a cruise ship mishap.",,,,,,"DVD, kids-family",,,0.00,,,,,1,19468282,,,,,,,,
Amadeus,,Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Salzburger composer Wolfgang Amadeus Mozart.,,,,,,"VHS, drama",,,0.00,,,,,1,06877434,,,,,,,,
Ambushed,,"In the frenetic underbelly of Los Angeles, Agent Maxwell closes in on an international cocaine smuggling operation run by criminal mastermind Vincent Camastra. When Agent Beverly Royce goes undercover with the drug dealers and finds herself deeper then she can handle - the case becomes personal for Maxwell who has to combat ruthless killers and dirty cops in an all-out action filled finale to bring the criminals to justice.",,,,,,"DVD, action",,,0.00,,,,,1,05520378,,,,,,,,
American Pie Presends: The Book of Love,,"American Pie Presents: The Book of Love is a 2009 American sex comedy film directed by John Putch, the fourth installment in the American Pie Presents spin-off series of the American Pie franchise.",,,,,,"DVD, comedy",,,0.00,,,,,1,91181050,,,,,,,,
