call_number,barcode_status,content_status,message
69205498,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51782650,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
36685562,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
88534266,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
66931962,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
52438522,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51815418,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
07772410,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35562490,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
88894714,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
71453946,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
67569914,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
77607930,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
89779450,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69913850,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
36718330,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
18615290,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
78164986,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
08263930,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
90963706,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
31749626,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
34907130,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
34939898,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
88993018,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
77575162,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
89648378,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
67045626,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35202042,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
78033914,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35759098,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
68943354,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51749882,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51684346,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
77155578,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
77476858,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
68877818,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
18156538,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
11270650,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
68681210,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51717114,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
12450298,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
15006202,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
34973690,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
11631098,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35726330,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
88698106,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
72436986,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
34677754,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
38149626,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
77902842,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51848186,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
18877434,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
36751098,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
72273146,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
97315578,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
77843706,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
14842362,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35104762,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
52471290,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
90898170,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35660794,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
72305914,updated,updated,barcode: ok | content: changed: poster
68845050,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
08722682,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
77706234,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69598714,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35005434,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
19467258,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35529722,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
17632250,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
89746682,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
66980090,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
31094266,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35628026,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51913722,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
14023162,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
18320378,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
10123770,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
08165626,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
38247930,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
67438842,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
94502650,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
68746746,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
89386234,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
38215162,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
94699258,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
94666490,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
78328826,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
88337658,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
11729402,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
52504058,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
07411962,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
27665914,updated,updated,barcode: ok | content: changed: poster
34644986,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35857402,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
38182394,updated,updated,barcode: ok | content: changed: poster
66947322,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
07652090,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
72502522,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
72469754,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
74443514,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
08198394,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
