call_number,barcode_status,content_status,message
191-DVD6TH-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020142' | content: changed: poster
191-BLRATI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020159' | content: changed: poster
191-DVDAVE-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020166' | content: changed: poster
191-VHSACT-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020173' | content: changed: poster
191-VHSCTS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020180' | content: changed: poster
191-VHSADV-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020197' | content: changed: poster
191-VHSAIR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020203' | content: changed: poster
191-VHSALF-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020210' | content: changed: poster
38044666,updated,updated,barcode: ok | content: changed: poster
191-BLRAMA-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020234' | content: changed: poster
191-BLRAME-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020241' | content: changed: poster
191-BLRAMI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020258' | content: changed: poster
191-VHSNFF-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020265' | content: changed: poster
191-VHSAN2-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020272' | content: changed: poster
191-VHSBBP-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020289' | content: changed: poster
191-VHSBAD-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020296' | content: changed: poster
191-BLRBAS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020302' | content: changed: poster
191-VHSBAS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020319' | content: changed: poster
191-BLRBEC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020326' | content: changed: poster
191-VHSBES-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020333' | content: changed: poster
191-THFBES-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020340' | content: changed: poster
191-DVDBEV-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020357' | content: changed: poster
27600378,updated,updated,barcode: ok | content: changed: poster
191-BLRBLA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020371' | content: changed: poster
191-BLRBLU-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020388' | content: changed: poster
191-BLRBOD-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020395' | content: changed: poster
191-VHSBON-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020401' | content: changed: poster
191-VHSBOR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020418' | content: changed: poster
191-DVDBOT-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020425' | content: changed: poster
191-BLRBOU-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020432' | content: changed: poster
191-BLRBRM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020449' | content: changed: poster
191-VHSBRA-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020456' | content: changed: poster
191-VHSBRY-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020463' | content: changed: poster
191-VHSCAM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020470' | content: changed: poster
191-BLRCEL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020487' | content: changed: poster
191-VHSCEN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020494' | content: changed: poster
191-DVDCHE-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020500' | content: changed: poster
191-DVDCHI-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020517' | content: changed: poster
191-DVDCIN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020524' | content: changed: poster
191-VHSCMS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020531' | content: changed: poster
191-VHSCOS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020548' | content: changed: poster
191-VHSCON-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020555' | content: changed: poster
191-VHSCO3-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020562' | content: changed: poster
191-VHSCNS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020579' | content: changed: poster
191-BLRCRE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020586' | content: changed: poster
191-BLRCRT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020593' | content: changed: poster
191-BLRCRO-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020609' | content: changed: poster
191-VHSCRU-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020616' | content: changed: poster
191-BLRDAR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020623' | content: changed: poster
191-BLRDAW-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020630' | content: changed: poster
191-VHSDDL-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020647' | content: changed: poster
191-VHSDES-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020654' | content: changed: poster
191-VHSDEA-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020661' | content: changed: poster
191-BLRDEN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020678' | content: changed: poster
191-DVDDEN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020685' | content: changed: poster
191-VHSDIA-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020692' | content: changed: poster
191-VHSDIR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020708' | content: changed: poster
26813946,updated,updated,barcode: ok | content: changed: poster
191-BLRDNT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020722' | content: changed: poster
191-BLRDMT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020739' | content: changed: poster
191-BLRDOO-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020746' | content: changed: poster
191-DVDDRS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020753' | content: changed: poster
191-BLRDRI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020760' | content: changed: poster
191-BLRDRV-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020777' | content: changed: poster
191-VHSECH-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020784' | content: changed: poster
191-VHSESC-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020791' | content: changed: poster
191-VHSSCP-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020807' | content: changed: poster
191-BLREXT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020814' | content: changed: poster
191-DVDFAH-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020821' | content: changed: poster
191-DVDFAN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020838' | content: changed: poster
191-VHSFAR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020845' | content: changed: poster
191-DVDFED-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020852' | content: changed: poster
191-DVDFDR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020869' | content: changed: poster
27403770,updated,updated,barcode: ok | content: changed: poster
191-VHSFOR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020883' | content: changed: poster
191-DVDFRE-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020890' | content: changed: poster
191-BLRFUR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020906' | content: changed: poster
191-VHSGTT-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020913' | content: changed: poster
191-BLRGOD-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020920' | content: changed: poster
191-DVDGRA-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020937' | content: changed: poster
191-BLRGRE-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020944' | content: changed: poster
191-BLRGRU-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020951' | content: changed: poster
191-BLRHAN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020968' | content: changed: poster
27043322,updated,updated,barcode: ok | content: changed: poster
191-VHSHOM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020982' | content: changed: poster
191-BLRHUO-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000020999' | content: changed: poster
191-BLRINF-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021002' | content: changed: poster
191-BLRJEE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021019' | content: changed: poster
191-BLRJOH-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021026' | content: changed: poster
191-DVDJUN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021033' | content: changed: poster
191-BLRJUP-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021040' | content: changed: poster
191-BLRKI2-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021057' | content: changed: poster
27174394,updated,updated,barcode: ok | content: changed: poster
191-DVDLFB-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021071' | content: changed: poster
191-VHSLVH-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021088' | content: changed: poster
191-BLRMCH-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021095' | content: changed: poster
191-VHSMNF-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021101' | content: changed: poster
191-DVDMAN-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021118' | content: changed: poster
191-DVDMED-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021125' | content: changed: poster
191-DVDMEM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021132' | content: changed: poster
191-DVDMMR-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021149' | content: changed: poster
191-VHSMEM-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021156' | content: changed: poster
191-VHSMEX-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021163' | content: changed: poster
191-VHSMIA-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021170' | content: changed: poster
191-VHSMID-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021187' | content: changed: poster
191-VHSMIL-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021194' | content: changed: poster
191-VHSMLK-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021200' | content: changed: poster
27076090,updated,updated,barcode: ok | content: changed: poster
191-VHSMSS-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000021224' | content: changed: poster
