call_number,barcode_status,content_status,message
191-BLR13A-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022146' | content: changed: poster
191-BLR21J-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022153' | content: changed: poster
191-UNK22J-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022160' | content: changed: poster
191-VHS3ST-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022177' | content: changed: poster
191-BLRABL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022184' | content: changed: poster
191-BLRAGU-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022191' | content: changed: poster
191-UNIAMI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022207' | content: changed: poster
191-BLRAST-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022214' | content: changed: poster
191-DVDADA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022221' | content: changed: poster
191-VHSAGE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022238' | content: changed: poster
191-VHSALL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022245' | content: changed: poster
191-BLRAMB-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022252' | content: changed: poster
191-VHSMRC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022269' | content: changed: poster
191-VHSAMR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022276' | content: changed: poster
191-VHSAMY-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022283' | content: changed: poster
191-VHSNFR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022290' | content: changed: poster
191-VHSANA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022306' | content: changed: poster
191-VHSAND-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022313' | content: changed: poster
191-UNKANG-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022320' | content: changed: poster
191-DVDANN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022337' | content: changed: poster
191-BLRANY-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022344' | content: changed: poster
191-VHSAPT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022351' | content: changed: poster
191-TRIARM-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022368' | content: changed: poster
191-DVDARS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022375' | content: changed: poster
191-BLRASS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022382' | content: changed: poster
191-UNKASS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022399' | content: changed: poster
191-UNKATF-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022405' | content: changed: poster
191-VHSAVA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022412' | content: changed: poster
