call_number,title
191-BLR16B-001A,16 Blocks
191-DVD8MI-001A,8 Mile
95306746,A Fool and His Money
35832826,A Saintly Switch
191-DVDASE-001A,A Serious Man
91177210,Alien
19653370,Another Stakeout
191-BLRBAM-001A,Bambi
191-BLRBEI-001A,Being John Malkovich
191-BLRBLV-001A,Blue Velvet
191-DVDCAN-001A,Can't Hardly Wait
191-DVDCAS-001A,Casino
191-DVDCAT-001A,Catch Me If You Can
91308282,Cinderella
91570426,Civil War
191-DVDCOL-001A,Cold Pursuit
191-BLRCWB-001A,Cowboys & Aliens
95241210,Doom Runners
35570682,DragonFight
35439610,Dutch
35275770,Dying to Get Rich
95536122,Easy Money
19751674,Eat Drink Man Woman
35865594,Ed's Next Move
35931130,Educating Rita
95077370,Eight Days a Week
191-DVDELI-001A,Elizabethtown
191-DVDENC-001A,Enchanted
95372282,Extreme Days
19948282,Far From Heaven
35406842,Father's Day
191-DVDFER-001A,Fear
191-DVDFEA-001A,Fear and Loathing in Las Vegas
95437818,For Keeps
56477434,Galaxy Quest
191-BLRGET-001A,Get Out
19718906,God Said Ha!
19882746,Gods and Monsters
95175674,"He Said, She Said"
191-WALHER-001A,Herbie: Fully Loaded
95634426,Hope and Glory
19817210,Isn't She Great
191-BLRJUM-001A,Jumanji: Welcome to the Jungle
191-DVDKIL-001A,Kill Bill Volume 2
19489530,Legal Eagles
191-DVDLOS-001A,Lost in Translation
16492026,Malcom X
19522298,Me Myself I
19423994,"Me, Myself and Irene"
94979066,Murphy's Fault
95601658,Mussolini and I
19587834,Oddball Hall
95208442,Pure Country
96093178,Quigley Down Under
191-DVDRAT-001A,Ratatouille
191-BLRREA-001A,Re-Animator
91635962,Rear Window
95011834,Redwood Curtain
191-BLRSYR-001A,SYRIANA
35308538,Salvador
191-BLRSAV-001A,Saving Private Ryan
191-DVDSAY-001A,Say Anything
96060410,Short Cuts
35701754,Sleeping Beauty (1989)
35243002,Sleeping with the Enemy
191-DVDSLE-001A,Sleepless in Seattle
95994874,Smart Money
191-DVDSNA-001A,Snatch (Special Edition)
95273978,Soap Dish
35636218,Soldier of Fortune Inc.
35800058,Soldier's Fortune
95044602,Solo
35472378,Son of the Pink Panther
191-DVDSPD-001A,Spider-Man 3
191-DVDSPI-001A,Spirited Away
18392570,Streetwise
20144890,Tall Tales & Legends: Annie Oakley
191-BLRTAN-001A,Tango & Cash
191-DVDTHB-001A,The Beales of Grey Gardens
95110138,The Bridges of Medison County
191-DVDTHC-001A,The Cabin in the Woods
96027642,The Dunera Boys
35734522,The Edge
35341306,The Fear Inside
191-BL2THE-001A,The Forgotten
20046586,The Great Santini
95962106,The Heart of Me
19456762,The Incredibly True Adventures of 2 Girls in Love
191-DVDTHJ-001A,The Jackal
20013818,The Kitchen Soto
17704442,The Last Waltz
191-DVDTH2-001A,The Lord of the Rings: The Return of the King
191-DVDTHS-001A,The Lord of the Rings: The Two Towers
19686138,The Man Who Knew Too Little
19915514,The Prince of Tides
191-DVDROY-002A,The Royal Tenenbaums
19784442,The Survivors
191-BLRTEX-001A,The Texas Chain Saw Massacre
18621946,The Thin Blue Line
35537914,The Train Robbers
191-DVDTHR-001A,Three Kings
18818554,To Die For
191-DVDVIL-001A,Village of the Damned
95568890,We're Talkin' Serious Money
95667194,Wish You Were Dead
95339514,Working Girl
95470586,Year of the Comet
191-DVDYOU-001A,You've Got Mail
