Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
rear-window-4k-rental-thriller,Rear Window,<p>Temporary!!</p>,4K,Media > Videos,"Rental, 4K, Thriller, new-arrival, Supercycle product, Formatted",Genre,Thriller,shopify,1,deny,manual,0,91635962,,,,thriller
civil-war-4k-rental-thriller,Civil War,,4K,Media > Videos,"Rental, 4K, Thriller, new-arrival, Supercycle product, Formatted",Genre,Thriller,shopify,1,deny,manual,0,91570426,,,,thriller
cinderella-4k-rental-kids-family,Cinderella,,4K,Media > Videos,"Rental, 4K, Kids & Family, new-arrival, Supercycle product, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,91308282,,,,kids-family
alien-4k-rental-sci-fi,Alien,,4K,Media > Videos,"Rental, 4K, Sci-Fi, new-arrival, Supercycle product, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,91177210,,,,sci-fi
to-die-for-bluray-rental-criterion-collection-drama,To Die For,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Drama, Criterion Collection, Supercycle product, Formatted",Genre,Drama,shopify,1,deny,manual,0,18818554,,,,drama
the-thin-blue-line-bluray-rental-criterion-collection-documentary,The Thin Blue Line,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Documentary, Criterion Collection, Supercycle product, Formatted",Genre,Documentary,shopify,1,deny,manual,0,18621946,,,,documentary
streetwise-bluray-rental-criterion-collection-documentary,Streetwise,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Documentary, Criterion Collection, Supercycle product, Formatted",Genre,Documentary,shopify,1,deny,manual,0,18392570,,,,documentary
the-last-waltz-bluray-rental-criterion-collection-musical,The Last Waltz,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Musical, Criterion Collection, Supercycle product, Formatted",Genre,Musical,shopify,1,deny,manual,0,17704442,,,,musical
malcom-x-4k-rental-criterion-collection-drama,Malcom X,,4K,Media > Videos,"Rental, 4K, Drama, Criterion Collection, Supercycle product, Formatted",Genre,Drama,shopify,1,deny,manual,0,16492026,,,,drama
wall-e-4k-rental-criterion-collection-kids-family,Wall-E,,4K,Media > Videos,"Rental, 4K, Kids & Family, Criterion Collection, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,16328186,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/mje5UAVt8hzxxB3sY11YZ53LfXNcxo_large_150010df-d700-44e3-98f6-c3fc82e72f39.jpg?v=1789403924,1,Wall-E poster,kids-family
