Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rear-window-4k-rental-thriller,Rear Window,<p>Temporary!!</p>,4K,Media > Videos,,"4K, Formatted, new-arrival, Rental, Supercycle product, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,91635962,,,,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,Membership,,lb,,,active
civil-war-4k-rental-thriller,Civil War,,4K,Media > Videos,,"4K, Formatted, new-arrival, Rental, Supercycle product, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91570426,,,,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
cinderella-4k-rental-kids-family,Cinderella,,4K,Media > Videos,,"4K, Formatted, Kids & Family, new-arrival, Rental, Supercycle product",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91308282,,,,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active
alien-4k-rental-sci-fi,Alien,,4K,Media > Videos,,"4K, Formatted, new-arrival, Rental, Sci-Fi, Supercycle product",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91177210,,,,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active
to-die-for-bluray-rental-criterion-collection-drama,To Die For,,Blu-Ray,Media > Videos,,"Blu-Ray, Criterion Collection, Drama, Formatted, Rental, Supercycle product",true,Genre,Drama,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,18818554,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
the-thin-blue-line-bluray-rental-criterion-collection-documentary,The Thin Blue Line,,Blu-Ray,Media > Videos,,"Blu-Ray, Criterion Collection, Documentary, Formatted, Rental, Supercycle product",true,Genre,Documentary,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,18621946,,,,false,,,,,,,,,,,,,documentary,,,,,,,,,,,,,,,lb,,,active
streetwise-bluray-rental-criterion-collection-documentary,Streetwise,,Blu-Ray,Media > Videos,,"Blu-Ray, Criterion Collection, Documentary, Formatted, Rental, Supercycle product",true,Genre,Documentary,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,18392570,,,,false,,,,,,,,,,,,,documentary,,,,,,,,,,,,,,,lb,,,active
the-last-waltz-bluray-rental-criterion-collection-musical,The Last Waltz,,Blu-Ray,Media > Videos,,"Blu-Ray, Criterion Collection, Formatted, Musical, Rental, Supercycle product",true,Genre,Musical,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,17704442,,,,false,,,,,,,,,,,,,musical,,,,,,,,,,,,,,,lb,,,active
malcom-x-4k-rental-criterion-collection-drama,Malcom X,,4K,Media > Videos,,"4K, Criterion Collection, Drama, Formatted, Rental, Supercycle product",true,Genre,Drama,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,16492026,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
wall-e-4k-rental-criterion-collection-kids-family,Wall-E,,4K,Media > Videos,,"4K, Criterion Collection, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,16328186,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/mje5UAVt8hzxxB3sY11YZ53LfXNcxo_large_150010df-d700-44e3-98f6-c3fc82e72f39.jpg?v=1789403924,1,,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active
tall-tales-legends-annie-oakley-vhs-rental-drama,Tall Tales & Legends: Annie Oakley,,VHS,Media > Videos,,"Drama, Formatted, Rental, Supercycle product, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,20144890,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
the-kitchen-soto-vhs-rental-drama,The Kitchen Soto,,VHS,Media > Videos,,"Drama, Formatted, Rental, Supercycle product, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,20013818,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
far-from-heaven-vhs-rental-drama,Far From Heaven,,VHS,Media > Videos,,"Drama, Formatted, Rental, Supercycle product, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,19948282,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
the-survivors-vhs-rental-comedy,The Survivors,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,19784442,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
the-incredibly-true-adventures-of-2-girls-in-love-vhs-rental-comedy,The Incredibly True Adventures of 2 Girls in Love,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,19456762,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
smart-money-vhs-rental-drama,Smart Money,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95994874,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
mussolini-and-i-vhs-rental-drama,Mussolini and I,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95601658,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
easy-money-vhs-rental-comedy,Easy Money,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95536122,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
working-girl-vhs-rental-comedy,Working Girl,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95339514,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
a-fool-and-his-money-vhs-rental-romantic-comedy,A Fool and His Money,,VHS,Media > Videos,,"Formatted, Rental, Romantic Comedy, VHS",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95306746,,,,false,,,,,,,,,,,,,romantic-comedy,,,,,,,,,,,,,,,lb,,,active
soap-dish-vhs-rental-comedy,Soap Dish,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95273978,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
the-bridges-of-medison-county-vhs-rental-drama,The Bridges of Medison County,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95110138,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
murphys-fault-vhs-rental-comedy,Murphy's Fault,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94979066,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
soldiers-fortune-vhs-rental-action,Soldier's Fortune,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35800058,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
sleeping-beauty-1989-vhs-rental-kids-family,Sleeping Beauty (1989),,VHS,Media > Videos,,"Formatted, Kids & Family, Rental, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35701754,,,,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active
dragonfight-vhs-rental-action,DragonFight,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35570682,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
salvador-vhs-rental-drama,Salvador,,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35308538,,,,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
dying-to-get-rich-vhs-rental-comedy,Dying to Get Rich,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35275770,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
the-butterfly-effect-collection-dvd-rental-sci-fi,The Butterfly Effect Collection,,DVD,Media > Videos,,"DVD, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41764090,,,,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active
baby-mana-dvd-rental-comedy,Baby Mama,,DVD,Media > Videos,,"Comedy, DVD, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41501946,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
sherlock-holmes-dvd-rental-action,Sherlock Holmes,,DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41370874,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
say-anthing-dvd-rental-romantic-comedy,Say Anthing,,DVD,Media > Videos,,"DVD, Formatted, Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,40944890,,,,false,,,,,,,,,,,,,romantic-comedy,,,,,,,,,,,,,,,lb,,,active
defiance-dvd-rental-action,Defiance,,DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,40617210,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
the-losers-bluray-rental-action,The Losers,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48156922,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
the-way-back-bluray-rental-comedy,The Way Back,,Blu-Ray,Media > Videos,,"Blu-Ray, Comedy, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,47993082,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
fantasic-beasts-the-crimes-of-grindelwald-bluray-rental-fantasy,Fantasic Beasts The Crimes of Grindelwald,,Blu-Ray,Media > Videos,,"Blu-Ray, Fantasy, Formatted, Rental",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,30323194,,,,false,,,,,,,,,,,,,fantasy,,,,,,,,,,,,,,,lb,,,active
casino-royale-bluray-rental-action,Casino Royale,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,29798906,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
mckenna-shoots-for-the-stars-bluray-rental-kids-family,McKenna Shoots for the Stars,,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,29078010,,,,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active
neighbors-bluray-rental-comedy,Neighbors,,Blu-Ray,Media > Videos,,"Blu-Ray, Comedy, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,28783098,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
wanted-bluray-rental-action,Wanted,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,28750330,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
