Handle,Title,Option1 Name,Option1 Value,Body (HTML)
jagged-edge-vhs-rental-thriller,Jagged Edge,Genre,Thriller,"<p>After a wealthy heiress is murdered in her beach house, her devastated husband becomes the prime suspect. He hires a lawyer who hasn’t taken a criminal case in years, and as they work together, a complicated romance develops amidst the trial.</p>"
communion-vhs-floor-sale-drama,Communion,Genre,Drama,<p>A novelist's wife and son see him changed by an apparent encounter with aliens in the mountains.</p>
last-orders-vhs-floor-sale-drama,Last Orders,Genre,Drama,"<p>Jack Dodd was a London butcher who enjoyed a pint with his mates for over 50 years. When he died, he died as he lived, with a smile on his face watching a horse race on which he had bet, with borrowed money. But before he died he had a final request, 'Last Orders', that his ashes be scattered in the sea at Margate. The movie follows his mates, Ray, Lenny and Vic and his foster son Vince as they journey to the sea with the ashes. Along the way, the threads of their lives, their loves and their disappointments are woven together in their memories of Jack and his wife Amy</p>"
mandela-vhs-floor-sale-drama,Mandela,Genre,Drama,"<p>Nelson Mandela becomes South Africa's first Black President, and was awarded the Nobel Peace Prize for his leadership in negotiating a bloodless revolution in that country.</p>"
kissed-vhs-floor-sale-drama,Kissed,Genre,Drama,"<p>Over the years, a child's romantic ideals about death blossom into necrophilia, the study of embalming and the most profound relationship of her life.</p>"
return-to-sender-vhs-floor-sale-drama,Return to Sender,Genre,Drama,"<p>While fighting for a woman who sits on death row, a lawyer happens upon new information which brings into question the motives of a man associated with her client</p>"
rich-and-famous-vhs-rental-drama,Rich and Famous,Genre,Drama,"<p>Two literary women compete for 20 years: one writes for the critics; the other one, to get rich.</p>"
something-borrowed-bluray-rental-romantic-comedy,Something Borrowed,Genre,Romantic Comedy,"<p>Though Rachel is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy. Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan, Rachel's confidant, harbors a potentially explosive secret of his own.</p>"
dangerous-beauty-vhs-rental-drama,Dangerous Beauty,Genre,Drama,"<p>Veronica is brilliant, gifted and beautiful, but the handsome aristocrat she loves, Marco Venier, cannot marry her because she is penniless and of questionable family. So Veronica's mother, Paola, teaches her to become a courtesan, one of the exotic companions favored by the richest and most powerful Venetian men. Veronica courageously uses her charms to change destiny -- and to give herself a chance at true love.</p>"
the-rookie-vhs-rental-kids-family,The Rookie,Genre,Kids & Family,"<p>Jim Morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas, Jim's team makes a deal with him: if they win the district championship, Jim will try out with a major-league organization. The bet proves incentive enough for the team, and they go from worst to first, making it to state for the first time in the history of the school. Jim, forced to live up to his end of the deal, is nearly laughed off the try-out field--until he gets onto the mound, where he confounds the scouts (and himself) by clocking successive 98 mph fastballs, good enough for a minor-league contract with the Tampa Bay Devil Rays. Jim's still got a lot of pitches to throw before he makes it to The Show, but with his big-league dreams revived, there's no telling where he could go.</p>"
