Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
orson-welles-gost-story-vhs-floor-sale-documentary,Orson Welles' Gost Story,,VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,8.00,02320890,,,,documentary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elvis-kissin-cousins-vhs-floor-sale-drama,Elvis Kissin' Cousins,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,01927674,,,,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normans-awesom-experience-vhs-floor-sale-sci-fi,Norman's Awesom Experience,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,18.00,01830394,,,,sci-fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my-tutot-vhs-floor-sale-comedy,My Tutot,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,01601018,,,,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-movies-family-holiday-film-collection-dvd-floor-sale-holiday,20 Movies: Family Holiday Film Collection,,DVD,Media > Videos,"Floor Sale, DVD, Holiday, Formatted",Genre,Holiday,shopify,1,deny,manual,8.00,00667642,,,,holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whtie-christmas-dvd-floor-sale-holiday,Whtie Christmas,,DVD,Media > Videos,"Floor Sale, DVD, Holiday, Formatted",Genre,Holiday,shopify,1,deny,manual,5.00,00602106,,,,holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mullholand-falls-vhs-floor-sale-thriller,Mullholand Falls,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,6.00,00307194,,,,thriller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
titalnic-town-vhs-floor-sale-drama,Titalnic Town,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,00176122,,,,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whitesnake-trilogy-vhs-rental-musical,Whitesnake: Trilogy,,VHS,Media > Videos,"Rental, VHS, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,93163770,,,,musical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
where-the-spririt-lives-vhs-rental-drama,Where the Spririt Lives,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,43356410,,,,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leviathan-promotional-cassette-vhs-floor-sale-comedy,Leviathan Promotional Cassette,<p>10</p>,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,60007674,,,,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-adventires-of-milo-and-otis-dvd-floor-sale-kids-family,The Adventires of Milo and Otis,<p>5</p>,DVD,Media > Videos,"Floor Sale, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,56665338,,,,kids-family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratatouille-cooking-fun-for-all-ages-dvd-rental-kids-family,Ratatouille: Cooking Fun For All Ages,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,48211194,,,,kids-family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j-lo-lets-get-loud-dvd-rental-musical,J Lo: Let's Get Loud,,DVD,Media > Videos,"Rental, DVD, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,48178426,,,,musical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time-stalkers-vhs-rental-sci-fi,Time Stalkers,,VHS,Media > Videos,"Rental, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,16828410,,,,sci-fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-vagina-monoloues-vhs-rental-documentary,The Vagina Monoloues,,VHS,Media > Videos,"Rental, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,0,16336890,,,,documentary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-amityvilly-horror-dvd-rental-horror,The Amityvilly Horror,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,95744762,,,,horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-secret-of-roan-inish-island-of-the-seals-dvd-rental-kids-family,The Secret of Roan Inish (Island of the Seals),,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,95646458,,,,kids-family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
