Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
eddington-bluray-rental-drama,Eddington,"<p>In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Drama, Formatted, new-arrival, Rental, Supercycle product",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92127482,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/4GIqZUgPZ146BhibsPHMHef2nXX.jpg?v=1788880379,1,Eddington (2025) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
friendship-bluray-rental-comedy,Friendship,,Blu-Ray,Media > Videos,,"Blu-Ray, Comedy, Formatted, new-arrival, Rental, Supercycle product",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92061946,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
legend-bluray-rental-fantasy,Legend,"<p>Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess  Lili and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Fantasy, Formatted, new-arrival, Rental, Supercycle product",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92029178,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/6n3PQSYpZRK5YPk2w8JEwED7AZk_68a8472f-c3f2-423e-a9e2-83a6828afb07.jpg?v=1788880381,1,Legend (1985) poster,false,,,,,,,,,,,,,fantasy,,,,,,,,,,,,,,,lb,,,active
spawn-4k-rental-action,Spawn,"<p>After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.</p>",4K,Media > Videos,,"4K, Action, Formatted, new-arrival, Rental, Supercycle product",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91963642,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/3svvunKXkhRvEKByGDua1Qu0otq.jpg?v=1788880383,1,Spawn (1997) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
rope-4k-rental-thriller,Rope,<p>Two young men attempt to prove they committed the perfect murder by hosting a dinner party for the family of a classmate they just strangled to death.</p>,4K,Media > Videos,,"4K, Formatted, new-arrival, Rental, Supercycle product, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91898106,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/9ar6rxLDB8kagAnXZKn6h9smscr.jpg?v=1788880384,1,Rope (1948) poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
super-mario-bros-movie-4k-rental-kids-family,Super Mario Bros Movie,"<p>While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.</p>",4K,Media > Videos,,"4K, Formatted, Kids & Family, new-arrival, Rental, Supercycle product",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91832570,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg?v=1788880385,1,Super Mario Bros Movie (2023) poster,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active
one-battle-after-another-4k-rental-drama,One Battle After Another,"<p>Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.</p>",4K,Media > Videos,,"4K, Drama, Formatted, new-arrival, Rental, Supercycle product",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91767034,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/lbBWwxBht4JFP5PsuJ5onpMqugW.jpg?v=1788880387,1,One Battle After Another (2025) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
oppenheimer-4k-rental-drama,Oppenheimer,<p>The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.</p>,4K,Media > Videos,,"4K, Drama, Formatted, new-arrival, Rental, Supercycle product",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91701498,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg?v=1788880388,1,Oppenheimer (2023) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
rear-window-4k-rental-thriller,Rear Window,<p>Temporary!!</p>,4K,Media > Videos,,"4K, Formatted, new-arrival, Rental, Supercycle product, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,91635962,,,,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,Membership,,lb,,,active
civil-war-4k-rental-thriller,Civil War,,4K,Media > Videos,,"4K, Formatted, new-arrival, Rental, Supercycle product, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91570426,,,,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
